symbol,corr,pval,type
ACTN4,0.29076655052264816,0.06547073928857072,qVal
ACTR1A,-0.33333333333333337,0.04752080683865776,qVal
ACTR1B,-0.15083655083655087,0.3784445126955109,qVal
ACTR2,0.04015444015444016,0.8157637396681745,qVal
ACTR3,0.17631917631917635,0.3023908441880666,qVal
ACVR1B,0.19635854341736697,0.25718095212894837,qVal
ACY1,-0.04129554655870445,0.8024339993382699,qVal
ACYP2,-0.13770913770913773,0.42170123799677606,qVal
ADAM10,-0.287001287001287,0.08986480410002183,qVal
ADAM17,-0.06935483870967743,0.7099859011677127,qVal
ADAMTS13,-0.20788770053475936,0.24464359386521878,qVal
ADAMTSL4,-0.09365928189457601,0.5970116015685676,qVal
ADAP1,0.20417888563049855,0.26118391509547595,qVal
ADAR,-0.020625889046941678,0.9036119418474521,qVal
ADARB1,0.04507257448433919,0.799751782155556,qVal
ADCK2,0.27927927927927926,0.09427640448856396,qVal
ADCY3,0.37647058823529417,0.026484093354500214,qVal
ADCY7,0.04397759103641457,0.8015003454212623,qVal
ADD1,-0.18459350038297406,0.2661659001377384,qVal
ADGRA2,0.46142904037640875,0.003880832705853555,qVal
ADGRE5,0.28083623693379794,0.07555699363204688,qVal
ADGRL1,0.05971685971685973,0.7285924481190109,qVal
ADHFE1,-0.3248987854251012,0.04409837588205575,qVal
ADIPOR1,0.33990641711229946,0.05353483041856994,qVal
ADM5,-0.07013896487580697,0.6746502946191881,qVal
ADNP,-0.2557172557172557,0.121135316068576,qVal
ADRM1,-0.17914438502673796,0.31714781171038486,qVal
ADSL,0.31183155080213903,0.07766477765765996,qVal
AEBP2,0.440488922841864,0.009701076645075742,qVal
AEN,0.14873949579831935,0.39231668008950393,qVal
AFAP1,-0.08843053579895685,0.6015214060955274,qVal
AFDN,0.5850267379679144,3.5940235825497396e-4,qVal
AFF1,0.2608870967741936,0.15594723491598664,qVal
AFF4,-0.019305019305019308,0.9111379389948572,qVal
AFG3L2,0.3943468296409473,0.02170486736595508,qVal
