total_reads,reads_aligned,duplicate_reads,sample
44049372,34516378,5375576,SRX3084733_Top1_KD_rep_2_DRIP-seq
42116364,34048234,17172093,SRX3084734_Control_DRIPc-seq
45177683,34890569,16343996,SRX3084735_Scramble_DRIPc-seq
48776898,43987495,9637138,SRX3084736_Top1_KD_rep_1_DRIPc-seq
48499469,41412294,17449545,SRX3084737_Top1_KD_rep_2_DRIPc-seq
76641165,46180910,9336467,SRX3581338_drip_ASF_IP_1_1
54845117,33605541,5448225,SRX3581339_drip_HeLa_IP_1_1
65054640,34846402,7032803,SRX3581340_drip_TOP1_IP_1_1
39085463,28481745,12089976,SRX3581342_drip_ASF_IP_2_1
34651907,24788485,8489723,SRX3581344_drip_HeLa_IP_2_1
43501686,32225507,14694728,SRX3581346_drip_TOP1_IP_2_1
23249330,18180803,6339051,SRX4089416_K562-WKKD-V5chip
106085788,86793975,46420727,SRX4231163_Control_DRIP-seq_1
90606824,72822594,11259795,SRX4231164_Control_DRIP-seq_2
93634288,75633527,12137338,SRX4231165_FG_DRIP-seq_1
79872320,65179589,8279760,SRX4231166_FG_DRIP-seq_2
97578986,78262519,15668748,SRX4231167_PDS_DRIP-seq_1
81837480,68885401,8085671,SRX4231168_PDS_DRIP-seq_2
22362190,18523865,6373217,SRX4457337_DRIP-S96-Bcell
67796472,66860329,27839937,SRX4671914_S96_DRIP_R1
74412700,73378148,27292561,SRX4671915_S96_DRIP_R2
58419860,54835466,2812391,SRX4671916_S96_DRIP_RNase_H_R1
80780326,76389153,5712079,SRX4671917_S96_DRIP_RNase_H_R2
37611721,30248180,13724756,SRX4732954_RNADIP_siLUC_rep1
41609951,34008678,15177402,SRX4732955_RNADIP_siSPT6_rep1
181692786,128982217,95558086,SRX4732956_RNADIP_siLUC_rep2
217353071,158795966,118627864,SRX4732957_RNADIP_siSPT6_rep2
34372352,30691794,5869783,SRX4776615_MapR_293_rep1
24621696,22281179,1659688,SRX4776617_MapR_293_rep2_tech1
17599876,15973286,1073260,SRX4776618_MapR_293_rep2_tech2
33723702,30127857,5932976,SRX4776621_MapR_293_rep3
